time_step,mean_g,std_g,mean_dic,std_dic
0,,,2.3218,0.9042371149206767
1,,,2.3218,0.9042371149206767
2,,,2.3218,0.9042371149206767
3,,,2.3218,0.9042371149206767
4,,,2.3218,0.9042371149206767
5,,,2.3218,0.9042371149206767
6,,,2.3218,0.9042371149206767
7,,,2.3218,0.9042371149206767
8,,,2.3218,0.9042371149206767
9,,,2.3218,0.9042371149206767
10,,,2.3218,0.9042371149206767
11,,,2.3218,0.9042371149206767
12,,,2.3218,0.9042371149206767
13,,,2.3218,0.9042371149206767
14,,,2.3218,0.9042371149206767
15,,,2.3218,0.9042371149206767
16,,,2.3218,0.9042371149206767
17,,,2.3218,0.9042371149206767
18,,,2.3218,0.9042371149206767
19,,,2.3218,0.9042371149206767
20,,,2.3218,0.9042371149206767
21,,,2.3218,0.9042371149206767
22,,,2.3218,0.9042371149206767
23,,,2.3218,0.9042371149206767
24,,,2.3218,0.9042371149206767
25,,,2.3218,0.9042371149206767
26,,,2.3218,0.9042371149206767
27,,,2.3218,0.9042371149206767
28,,,2.3218,0.9042371149206767
29,,,2.3218,0.9042371149206767
30,,,2.3218,0.9042371149206767
31,,,2.3218,0.9042371149206767
32,,,2.3218,0.9042371149206767
33,,,2.3218,0.9042371149206767
34,,,2.3218,0.9042371149206767
35,,,2.3218,0.9042371149206767
36,,,2.3218,0.9042371149206767
37,,,2.3218,0.9042371149206767
38,,,2.3218,0.9042371149206767
39,0.0014049664345921573,0.003034265515542799,3.3218,0.9042371149206767
40,0.0029076127326799904,0.0058968411747695355,3.4889,0.9875610310254244
41,0.004448774675172631,0.00862457513215072,3.6114,1.036141901478693
42,0.0060318889495795565,0.01120722833707774,3.7182,1.07246853566903
43,0.0075974873991166945,0.01362205423202242,3.8074,1.10086567754652
44,0.009161813357875054,0.015879503683129098,3.8895,1.1228934722404058
45,0.010702670865516925,0.01795999024469809,3.9627,1.1460840763224427
46,0.01223997909182594,0.019918230077618997,4.0321,1.1673343951070851
47,0.013723550918830407,0.021678811646547506,4.1029,1.1814023827637303
48,0.015166011237462933,0.0232639594394807,4.1649,1.1954530480115513
49,0.016581930082704206,0.024674582609670877,4.2259,1.2144419253303516
50,0.017954100947354844,0.025925704492509073,4.2803,1.228630094861773
51,0.019254487074117962,0.027038565739365483,4.3362,1.2353823537674458
52,0.02053614823575212,0.027971783871887656,4.3856,1.2459986516846706
53,0.021744747088533606,0.028770721317300515,4.4324,1.2538860554292979
54,0.02287861634686532,0.029480684481887204,4.4811,1.2640580643310027
55,0.023966338831040063,0.03004556490402508,4.5234,1.27375525121579
56,0.025046281634749316,0.030542091400529065,4.5691,1.2807127663921867
57,0.026067201764120466,0.03092524264626435,4.611,1.2899918604393652
58,0.02703388049816387,0.031145537600978032,4.6541,1.2960915052572375
59,0.025914468640770048,0.03075770901162963,4.6954,1.3020056989122641
60,0.025002532856341988,0.030890171097635238,4.7321,1.3093240966238937
61,0.023974227291147066,0.030994518037910857,4.7692,1.3175474792204194
62,0.02281793550308696,0.031039650279396876,4.8089,1.3253606263956406
63,0.021626568815048333,0.031027666742598048,4.8445,1.3294810077620915
64,0.020362680283481427,0.03102060538511178,4.8782,1.3305505477056971
65,0.01909007441005278,0.030948478139140888,4.9151,1.3355493214404208
66,0.01777042428056323,0.030832496377135907,4.9496,1.3374826503546793
67,0.016441225176836213,0.03065383176663339,4.9858,1.3435767041743272
68,0.015086685341111033,0.030437529474539007,5.0193,1.351194845312847
69,0.013716819546527998,0.030193204641059297,5.0499,1.3552896332518038
70,0.012362365782116604,0.029946487230509824,5.0791,1.3576609260047339
71,0.011035175743758507,0.0296544839035996,5.1135,1.3640446290352486
72,0.009742428348900914,0.029333061966117204,5.1455,1.368696368812295
73,0.008444875601569634,0.029048903156910607,5.1727,1.3734899744810078
74,0.007199792246874052,0.028740838802132133,5.2015,1.3801803324203554
75,0.005993790463231117,0.02843577536525691,5.2299,1.3845020729489321
76,0.00482041240342371,0.02811425948168262,5.2572,1.3941478257343909
77,0.0037177435669978657,0.02779416330480613,5.2838,1.3993060994650452
78,0.002589049368355552,0.027482376849428433,5.31,1.4017489076150764
79,0.0021039247747766487,0.02734300127287383,5.3335,1.4060148470055815
80,0.0016999994514936688,0.027181285335145675,5.3584,1.4078882910231056
81,0.0013719569106821702,0.027064147565194173,5.3843,1.4119537917368423
82,0.0010986743290418333,0.02704663844530253,5.4093,1.41590024719258
83,0.0008339446329444409,0.027011153167922092,5.4382,1.422034022096478
84,0.0006688473590146318,0.027007574110016756,5.4627,1.427238140605727
85,0.00048528538816854577,0.02696813780392315,5.4843,1.4305081300013307
86,0.0003426640439164212,0.026952079156557313,5.5113,1.4328546018350654
87,0.0002105656605865235,0.026919319100539466,5.5343,1.4352085249189694
88,0.00011141627032639074,0.026871436824618577,5.5571,1.434970240109453
89,2.6355594006864364e-05,0.02684836528466359,5.5831,1.438851760953853
90,5.352700464386429e-06,0.026911719682132386,5.6034,1.4412176934801793
91,-6.308105886270178e-05,0.02696068280955879,5.6281,1.446094875863911
