,Pred_0,Pred_1,Pred_2
True_0,0.9463322112244386,0.05366778877556147,0.0
True_1,0.26912578010046173,0.72829418032371,0.002580039575828302
True_2,0.1603518987341772,0.30084556962025316,0.5388025316455696
