time_step,mean_g,std_g,mean_dic,std_dic,prob_transitioning,prob_state_0,prob_state_1,prob_state_2
0,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
1,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
2,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
3,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
4,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
5,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
6,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
7,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
8,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
9,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
10,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
11,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
12,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
13,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
14,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
15,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
16,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
17,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
18,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
19,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
20,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
21,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
22,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
23,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
24,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
25,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
26,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
27,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
28,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
29,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
30,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
31,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
32,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
33,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
34,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
35,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
36,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
37,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
38,,,2.33,0.9492628719169417,0.0,1.0,0.0,0.0
39,0.0019125889165241478,0.0029143031247846497,3.33,0.9492628719169417,0.0,1.0,0.0,0.0
40,0.0040678994032950205,0.005799158776876659,3.48,0.9744742172063868,0.0,1.0,0.0,0.0
41,0.006425114695023535,0.008453680452140884,3.57,0.9925220400575492,0.0,1.0,0.0,0.0
42,0.008779250389020242,0.010829576233972122,3.71,1.0516178012947484,0.0,1.0,0.0,0.0
43,0.010883487409417223,0.013048841845593287,3.87,1.0359054010864126,0.0,1.0,0.0,0.0
44,0.012934110119522963,0.015392387673451302,3.97,1.0242558274181313,0.0,1.0,0.0,0.0
45,0.015010276808280319,0.017600853557039164,4.02,1.0860939185908371,0.0,1.0,0.0,0.0
46,0.01701877098140121,0.01993206543774495,4.06,1.1029052543169795,0.0,1.0,0.0,0.0
47,0.018925770520495957,0.02203603631235214,4.14,1.1137324633860675,0.0,1.0,0.0,0.0
48,0.020632101386246226,0.024299112086611164,4.2,1.1224972160321829,0.0,1.0,0.0,0.0
49,0.022207670598867493,0.02604162464228764,4.26,1.1191067866830227,0.0,1.0,0.0,0.0
50,0.023553968687087267,0.027720545105102724,4.29,1.1514773119779653,0.0,1.0,0.0,0.0
51,0.02479624999594386,0.02897177834645582,4.34,1.1766052864066177,0.0,1.0,0.0,0.0
52,0.026118549506319772,0.029871923682924642,4.37,1.180296572900218,0.0,1.0,0.0,0.0
53,0.027163743320372646,0.030698310797439062,4.42,1.1847362575695906,0.0,1.0,0.0,0.0
54,0.02805873863658297,0.03152536361169489,4.48,1.2286578042726137,0.0,1.0,0.0,0.0
55,0.02909196621619873,0.03205409472994275,4.53,1.2365678307314971,0.0,1.0,0.0,0.0
56,0.029973381196267503,0.03237887669065673,4.55,1.2439855304624727,0.0,1.0,0.0,0.0
57,0.03122254879932309,0.03282187976874856,4.58,1.2584116973391497,0.0,1.0,0.0,0.0
58,0.03199665046118336,0.033169585455132405,4.65,1.267872233310597,0.0,1.0,0.0,0.0
59,0.03041700622904885,0.032776900839938325,4.66,1.274519517308385,0.0,1.0,0.0,0.0
60,0.029567153558498056,0.0329819948210287,4.68,1.2639620247459973,0.0,1.0,0.0,0.0
61,0.02839415934250303,0.033260083653462405,4.69,1.2782409788455384,0.0,1.0,0.0,0.0
62,0.02701126745680129,0.03334376403909926,4.73,1.295028957205205,0.0,1.0,0.0,0.0
63,0.025655252926128247,0.03289750038814163,4.76,1.2893409169028953,0.0,1.0,0.0,0.0
64,0.02413908580705523,0.03262261939960265,4.82,1.359264507003696,0.0,1.0,0.0,0.0
65,0.022639719702314327,0.032097799010421986,4.85,1.3369741957120933,0.0,1.0,0.0,0.0
66,0.021005499481725184,0.03172616351519879,4.87,1.3390668392578473,0.0,1.0,0.0,0.0
67,0.019043696880900438,0.0310154390405574,4.92,1.3466996695625946,0.0,1.0,0.0,0.0
68,0.017461407085679167,0.030455717786147477,4.95,1.3518505834595773,0.0,1.0,0.0,0.0
69,0.015768327974926475,0.029630792093688976,4.99,1.3453252394867206,0.0,1.0,0.0,0.0
70,0.014310381195554073,0.02883992631666003,5.01,1.330375886732769,0.0,1.0,0.0,0.0
71,0.013067335337241465,0.02833442392786021,5.04,1.3335666462535722,0.0,1.0,0.0,0.0
72,0.011520580157127602,0.027559111490225552,5.07,1.350962619764145,0.0,1.0,0.0,0.0
73,0.009807405140414368,0.026740491021691272,5.13,1.3831485820402671,0.0,1.0,0.0,0.0
74,0.00786209417724871,0.025799374257708407,5.14,1.371276777313755,0.0,1.0,0.0,0.0
75,0.006060756371991589,0.025289461100138792,5.15,1.359227721906818,0.0,1.0,0.0,0.0
76,0.004122874337084648,0.024686558762963037,5.19,1.3689046716261877,0.0,1.0,0.0,0.0
77,0.002146751617286137,0.02395109110932678,5.25,1.3592277219068187,0.0,1.0,0.0,0.0
